month_year,type,ASP_min,ASP_max,State_Min,State_Max
2018-07,Conventional,0.71,1.41,Houston,Baltimore/Washington
2018-07,Organic,0.73,1.43,Phoenix/Tucson,Seattle
2018-08,Conventional,0.81,1.45,Houston,San Francisco
2018-08,Organic,0.79,1.54,Phoenix/Tucson,Seattle
2018-09,Conventional,0.84,1.7,Houston,Chicago
2018-09,Organic,0.97,1.67,Phoenix/Tucson,Seattle
2018-10,Conventional,0.79,1.46,Houston,Boston
2018-10,Organic,0.86,1.65,Phoenix/Tucson,Seattle
2018-11,Conventional,0.81,1.52,Houston,San Francisco
2018-11,Organic,0.73,1.48,Dallas/Ft. Worth,Seattle
2018-12,Conventional,0.74,1.65,Houston,Grand Rapids
2018-12,Organic,0.69,1.54,Dallas/Ft. Worth,Seattle
2019-01,Conventional,0.62,1.53,Houston,Grand Rapids
2019-01,Organic,1.07,2.5,Buffalo/Rochester,San Francisco
2019-02,Conventional,0.61,1.45,Phoenix/Tucson,Seattle
2019-02,Organic,0.95,1.98,Grand Rapids,Seattle
2019-03,Conventional,0.54,1.5,Houston,Grand Rapids
2019-03,Organic,1.02,2.27,New Orleans/Mobile,Raleigh/Greensboro
2019-04,Conventional,0.73,1.82,Phoenix/Tucson,Seattle
2019-04,Organic,1.03,2.32,New Orleans/Mobile,Portland
2019-05,Conventional,0.83,1.79,Houston,San Francisco
2019-05,Organic,0.93,2.37,New Orleans/Mobile,Portland
2019-06,Conventional,0.95,1.98,Columbus,Seattle
2019-06,Organic,0.9,2.54,Tampa,Spokane
2019-07,Conventional,1,2.02,Harrisburg/Scranton,Seattle
2019-07,Organic,0.99,2.78,Orlando,San Diego
2019-08,Conventional,0.77,1.87,Houston,Seattle
2019-08,Organic,0.91,2.73,Tampa,Raleigh/Greensboro
2019-09,Conventional,0.82,1.86,Houston,Seattle
2019-09,Organic,0.95,2.71,Detroit,Raleigh/Greensboro
2019-10,Conventional,0.77,1.56,Phoenix/Tucson,Seattle
2019-10,Organic,0.77,2.15,Indianapolis,Raleigh/Greensboro
2019-11,Conventional,0.61,1.5,Houston,Sacramento
2019-11,Organic,0.88,2.34,Columbus,Raleigh/Greensboro
2019-12,Conventional,0.64,1.54,Chicago,San Francisco
2019-12,Organic,0.72,2.31,Detroit,Raleigh/Greensboro
2020-01,Conventional,0.65,1.53,Dallas/Ft. Worth,San Francisco
2020-01,Organic,0.85,2.09,Grand Rapids,St. Louis
