Geography,Date,ASP,type
California,2015-01-04,1.24,organic
Charlotte,2015-01-04,2.13,organic
Chicago,2015-01-04,1.49,organic
CincinnatiDayton,2015-01-04,1.34,organic
Columbus,2015-01-04,1.44,organic
DallasFtWorth,2015-01-04,1.35,organic
Denver,2015-01-04,1.42,organic
Detroit,2015-01-04,1.7,organic
GrandRapids,2015-01-04,1.6,organic
GreatLakes,2015-01-04,1.54,organic
HarrisburgScranton,2015-01-04,1.68,organic
HartfordSpringfield,2015-01-04,2.32,organic
Houston,2015-01-04,1.22,organic
Indianapolis,2015-01-04,1.63,organic
Jacksonville,2015-01-04,1.81,organic
LasVegas,2015-01-04,1.5,organic
LosAngeles,2015-01-04,1.25,organic
Louisville,2015-01-04,1.48,organic
MiamiFtLauderdale,2015-01-04,1.82,organic
Midsouth,2015-01-04,1.56,organic
Nashville,2015-01-04,1.84,organic
NewOrleansMobile,2015-01-04,1.41,organic
NewYork,2015-01-04,1.93,organic
Northeast,2015-01-04,1.88,organic
NorthernNewEngland,2015-01-04,1.83,organic
Orlando,2015-01-04,1.8,organic
Philadelphia,2015-01-04,1.72,organic
PhoenixTucson,2015-01-04,1.12,organic
Pittsburgh,2015-01-04,1.81,organic
Plains,2015-01-04,1.69,organic
Portland,2015-01-04,1.28,organic
RaleighGreensboro,2015-01-04,2.01,organic
RichmondNorfolk,2015-01-04,1.54,organic
Roanoke,2015-01-04,1.39,organic
Sacramento,2015-01-04,1.33,organic
SanDiego,2015-01-04,1.23,organic
SanFrancisco,2015-01-04,1.18,organic
Seattle,2015-01-04,1.49,organic
SouthCarolina,2015-01-04,1.86,organic
SouthCentral,2015-01-04,1.35,organic
Southeast,2015-01-04,1.75,organic
Spokane,2015-01-04,1.3,organic
StLouis,2015-01-04,1.8,organic
Syracuse,2015-01-04,1.72,organic
Tampa,2015-01-04,1.7,organic
TotalUS,2015-01-04,1.46,organic
West,2015-01-04,1.4,organic
WestTexNewMexico,2015-01-04,1.64,organic
Albany,2015-01-11,1.24,Conventional
Atlanta,2015-01-11,1.11,Conventional
BaltimoreWashington,2015-01-11,1.17,Conventional
Boise,2015-01-11,1.18,Conventional
Boston,2015-01-11,1.1,Conventional
BuffaloRochester,2015-01-11,1.54,Conventional
California,2015-01-11,0.92,Conventional
Charlotte,2015-01-11,1.26,Conventional
Chicago,2015-01-11,1.15,Conventional
CincinnatiDayton,2015-01-11,0.92,Conventional
Columbus,2015-01-11,0.97,Conventional
DallasFtWorth,2015-01-11,0.76,Conventional
Denver,2015-01-11,1.09,Conventional
Detroit,2015-01-11,1.08,Conventional
GrandRapids,2015-01-11,1.03,Conventional
GreatLakes,2015-01-11,1.1,Conventional
HarrisburgScranton,2015-01-11,1.26,Conventional
HartfordSpringfield,2015-01-11,1.38,Conventional
Houston,2015-01-11,0.78,Conventional
Indianapolis,2015-01-11,1.25,Conventional
Jacksonville,2015-01-11,1.2,Conventional
LasVegas,2015-01-11,0.93,Conventional
LosAngeles,2015-01-11,0.85,Conventional
Louisville,2015-01-11,1.05,Conventional
MiamiFtLauderdale,2015-01-11,1.28,Conventional
Midsouth,2015-01-11,1.17,Conventional
Nashville,2015-01-11,1.07,Conventional
NewOrleansMobile,2015-01-11,0.97,Conventional
NewYork,2015-01-11,1.34,Conventional
Northeast,2015-01-11,1.28,Conventional
NorthernNewEngland,2015-01-11,1.06,Conventional
Orlando,2015-01-11,1.29,Conventional
Philadelphia,2015-01-11,1.38,Conventional
PhoenixTucson,2015-01-11,0.61,Conventional
Pittsburgh,2015-01-11,1.54,Conventional
Plains,2015-01-11,1.09,Conventional
Portland,2015-01-11,1.05,Conventional
RaleighGreensboro,2015-01-11,1.24,Conventional
RichmondNorfolk,2015-01-11,1.15,Conventional
Roanoke,2015-01-11,1.16,Conventional
Sacramento,2015-01-11,1.09,Conventional
SanDiego,2015-01-11,0.82,Conventional
SanFrancisco,2015-01-11,1.03,Conventional
Seattle,2015-01-11,1.06,Conventional
SouthCarolina,2015-01-11,1.1,Conventional
