Geography,Date,ASP,type
Houston,1/11/2015,0.78,Conventional
Indianapolis,1/11/2015,1.25,Conventional
Jacksonville,1/11/2015,1.20,Conventional
LasVegas,1/11/2015,0.93,Conventional
LosAngeles,1/11/2015,0.85,Conventional
Louisville,1/11/2015,1.05,Conventional
MiamiFtLauderdale,1/11/2015,1.28,Conventional
Midsouth,1/11/2015,1.17,Conventional
Nashville,1/11/2015,1.07,Conventional
NewOrleansMobile,1/11/2015,0.97,Conventional
NewYork,1/11/2015,1.34,Conventional
Northeast,1/11/2015,1.28,Conventional
NorthernNewEngland,1/11/2015,1.06,Conventional
Orlando,1/11/2015,1.29,Conventional
Philadelphia,1/11/2015,1.38,Conventional
PhoenixTucson,1/11/2015,0.61,Conventional
Pittsburgh,1/11/2015,1.54,Conventional
Plains,1/11/2015,1.09,Conventional
Portland,1/11/2015,1.05,Conventional
RaleighGreensboro,1/11/2015,1.24,Conventional
RichmondNorfolk,1/11/2015,1.15,Conventional
Roanoke,1/11/2015,1.16,Conventional
Sacramento,1/11/2015,1.09,Conventional
SanDiego,1/11/2015,0.82,Conventional
SanFrancisco,1/11/2015,1.03,Conventional
Seattle,1/11/2015,1.06,Conventional
SouthCarolina,1/11/2015,1.10,Conventional
SouthCentral,1/11/2015,0.80,Conventional
Southeast,1/11/2015,1.18,Conventional
Spokane,1/11/2015,1.07,Conventional
StLouis,1/11/2015,1.29,Conventional
Syracuse,1/11/2015,1.45,Conventional
Tampa,1/11/2015,1.24,Conventional
TotalUS,1/11/2015,1.01,Conventional
West,1/11/2015,0.95,Conventional
WestTexNewMexico,1/11/2015,0.92,Conventional
Albany,1/11/2015,1.77,Organic
Atlanta,1/11/2015,1.84,Organic
Baltimore/Washington,1/11/2015,1.22,Organic
Boise,1/11/2015,1.44,Organic
Boston,1/11/2015,1.94,Organic
BuffaloRochester,1/11/2015,1.59,Organic
California,1/11/2015,1.10,Organic
Charlotte,1/11/2015,2.29,Organic
Chicago,1/11/2015,1.79,Organic
CincinnatiDayton,1/11/2015,1.32,Organic
Columbus,1/11/2015,1.68,Organic
DallasFtWorth,1/11/2015,1.35,Organic
Denver,1/11/2015,1.28,Organic
Detroit,1/11/2015,1.87,Organic
GrandRapids,1/11/2015,1.87,Organic
GreatLakes,1/11/2015,1.69,Organic
HarrisburgScranton,1/11/2015,1.65,Organic
HartfordSpringfield,1/11/2015,2.28,Organic
Houston,1/11/2015,1.26,Organic
Indianapolis,1/11/2015,1.83,Organic
Jacksonville,1/11/2015,1.91,Organic
LasVegas,1/11/2015,1.54,Organic
LosAngeles,1/11/2015,1.08,Organic
Louisville,1/11/2015,1.79,Organic
MiamiFtLauderdale,1/11/2015,1.85,Organic
Midsouth,1/11/2015,1.52,Organic
Nashville,1/11/2015,1.92,Organic
NewOrleansMobile,1/11/2015,1.44,Organic
NewYork,1/11/2015,2.03,Organic
Northeast,1/11/2015,1.86,Organic
NorthernNewEngland,1/11/2015,1.88,Organic
Orlando,1/11/2015,1.92,Organic
Philadelphia,1/11/2015,1.63,Organic
